City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Sumbe,AO,-11.2061,13.8437,81.61,82,100,5.12,overcast clouds
267,Lariano,IT,41.7191,12.8211,55.0,85,97,2.24,overcast clouds
268,Grindavik,IS,63.8424,-22.4338,37.4,87,75,16.11,broken clouds
269,Yubari,JP,43.0378,141.9578,37.0,93,75,4.61,broken clouds
270,Inhambane,MZ,-23.865,35.3833,72.88,82,0,7.31,clear sky
271,Purpe,RU,64.4803,76.6897,33.78,98,100,18.07,overcast clouds
272,Arlit,NE,18.7369,7.3853,87.21,7,0,11.92,clear sky
273,Alice Springs,AU,-23.7,133.8833,52.0,81,37,3.44,scattered clouds
274,Santa Rosa,PH,14.3122,121.1114,79.0,69,20,2.3,few clouds
275,Mbanza-Ngungu,CD,-5.25,14.8667,68.58,94,90,3.22,overcast clouds
276,Sokolovyy,RU,51.5686,45.8331,47.53,90,87,6.82,overcast clouds
277,Mehamn,NO,71.0357,27.8492,35.6,75,40,25.32,scattered clouds
278,Shenkursk,RU,62.1091,42.896,36.43,78,21,9.55,few clouds
279,Siocon,PH,7.7061,122.1353,78.39,85,27,6.46,scattered clouds
280,Deshnok,IN,27.7986,73.3447,80.71,9,2,5.39,clear sky
281,Broome,US,42.2506,-75.833,60.01,100,90,13.8,light rain
282,Calama,CL,-22.4667,-68.9333,71.6,13,0,19.57,clear sky
283,Kumba,CM,4.6363,9.4469,72.7,93,99,1.72,overcast clouds
284,Comodoro Rivadavia,AR,-45.8667,-67.5,73.4,40,75,17.27,broken clouds
285,Garowe,SO,8.4054,48.4845,72.63,77,46,11.77,scattered clouds
286,Ornskoldsvik,SE,63.2909,18.7153,28.4,80,85,3.44,overcast clouds
287,Huarmey,PE,-10.0681,-78.1522,73.11,76,97,10.11,overcast clouds
288,Shingu,JP,33.7333,135.9833,54.79,73,100,6.64,overcast clouds
289,Araucaria,BR,-25.5931,-49.4103,77.0,41,0,10.36,clear sky
290,Todos Santos,MX,23.45,-110.2167,69.01,74,97,5.01,overcast clouds
291,Biak,ID,-0.9131,122.8766,76.87,80,95,1.48,overcast clouds
292,Mecca,SA,21.4267,39.8261,72.27,48,1,6.64,clear sky
293,Marsh Harbour,BS,26.5412,-77.0636,77.81,73,44,17.98,scattered clouds
294,Sibu,MY,2.3,111.8167,77.0,94,40,4.61,heavy intensity rain
295,Les Cayes,HT,18.2,-73.75,78.19,77,96,10.98,overcast clouds
296,Harlingen,US,26.1906,-97.6961,88.0,55,20,8.05,few clouds
297,Cidreira,BR,-30.1811,-50.2056,81.03,62,80,4.88,broken clouds
298,Alekseyevka,RU,50.6309,38.6903,47.32,72,100,12.95,overcast clouds
299,Xiaoyi,CN,34.6178,109.703,52.52,75,74,1.39,broken clouds
300,Guiratinga,BR,-16.3494,-53.7583,80.19,58,63,3.62,broken clouds
301,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,64.27,77,80,20.31,broken clouds
302,Amahai,ID,-3.3333,128.9167,77.27,86,49,1.7,scattered clouds
303,Severodvinsk,RU,64.5635,39.8302,39.2,48,40,11.18,scattered clouds
304,Muli,MV,2.9167,73.5667,82.63,72,15,6.58,few clouds
305,Aykhal,RU,66.0,111.5,-6.07,98,75,5.3,broken clouds
306,Nyurba,RU,63.2842,118.3319,-9.65,99,92,2.91,overcast clouds
307,Richards Bay,ZA,-28.783,32.0377,71.51,94,2,5.95,clear sky
308,Morehead,US,37.2711,-87.1764,70.0,26,1,9.22,clear sky
309,Sorland,NO,67.667,12.6934,33.8,80,75,9.22,light snow
310,Andenes,NO,69.3143,16.1194,33.8,75,75,12.66,light snow
311,Dekalb,US,33.7504,-84.2333,73.4,31,1,9.51,clear sky
312,Manono,CD,-7.3,27.4167,68.79,95,100,3.94,moderate rain
313,Ilulissat,GL,69.2167,-51.1,32.0,55,75,2.3,broken clouds
314,Kovdor,RU,67.5662,30.4758,28.87,86,19,7.9,few clouds
315,Moron,AR,-34.6534,-58.6198,69.01,67,95,1.01,overcast clouds
316,Kidal,ML,18.4411,1.4078,90.81,7,0,6.42,clear sky
317,Vao,NC,-22.6667,167.4833,75.83,78,31,6.51,scattered clouds
318,Saint-Francois,FR,46.4154,3.9054,41.0,93,90,10.36,overcast clouds
319,Tiznit,MA,29.5833,-9.5,59.36,67,100,3.6,overcast clouds
320,Vestmannaeyjar,IS,63.4427,-20.2734,40.98,88,100,17.72,overcast clouds
321,Kailua,US,21.4022,-157.7394,78.8,64,75,9.22,broken clouds
322,Bengkulu,ID,-3.8004,102.2655,75.34,90,100,4.63,overcast clouds
323,Terrace,CA,54.5163,-128.6035,39.2,56,75,4.61,broken clouds
324,Antalaha,MG,-14.9003,50.2788,74.7,87,100,6.08,overcast clouds
325,Pisco,PE,-13.7,-76.2167,73.99,64,0,19.57,clear sky
326,Varkaus,FI,62.3153,27.873,39.2,52,0,6.91,clear sky
327,Hammerfest,NO,70.6634,23.6821,32.0,86,90,19.57,snow
328,Hudiksvall,SE,61.729,17.1036,34.0,75,100,4.74,overcast clouds
329,Cururupu,BR,-1.8283,-44.8683,77.95,83,71,4.07,broken clouds
330,Komsomolskiy,UZ,40.4272,71.7189,53.6,50,5,4.61,clear sky
331,Bontang,ID,0.1333,117.5,76.66,90,80,4.25,broken clouds
332,Mitsamiouli,KM,-11.3847,43.2844,81.59,74,98,8.41,overcast clouds
333,Salinas,US,36.6777,-121.6555,62.6,55,1,13.8,clear sky
334,Solnechnyy,RU,50.7214,136.6319,30.2,74,98,0.16,overcast clouds
335,Moree,AU,-29.4667,149.85,39.2,81,0,2.3,clear sky
336,Borovskoy,KZ,53.8,64.15,31.73,83,37,7.56,scattered clouds
337,Vostok,RU,46.4856,135.8833,38.46,82,100,6.71,overcast clouds
338,Riihimaki,FI,60.7377,24.7773,42.8,45,20,8.05,few clouds
339,Koshurnikovo,RU,54.1667,93.3,16.56,96,96,3.4,overcast clouds
340,Ilo,PE,-17.6394,-71.3375,69.84,72,59,8.3,broken clouds
341,Kogon,UZ,39.7228,64.5517,50.0,53,0,11.5,clear sky
342,Port Keats,AU,-14.25,129.55,78.13,80,56,2.71,broken clouds
343,Jasper,US,37.2001,-94.3502,75.2,33,1,19.57,clear sky
344,Srandakan,ID,-7.9386,110.2506,76.51,90,94,2.64,overcast clouds
345,Airai,TL,-8.9266,125.4092,58.21,87,27,2.06,scattered clouds
