City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Balboa,CO,2021-04-11 15:59:50,2.0396,-77.2168,71.31,74,96,1.92
182,Chuy,UY,2021-04-11 15:57:32,-33.6971,-53.4616,65.66,85,94,24.87
183,Cap Malheureux,MU,2021-04-11 15:59:51,-19.9842,57.6142,80.01,80,78,5.01
184,Vardo,NO,2021-04-11 15:57:01,70.3705,31.1107,33.8,80,75,23.02
185,Faanui,PF,2021-04-11 15:58:25,-16.4833,-151.75,81.14,76,100,10.94
186,Hamilton,US,2021-04-11 15:58:17,39.1834,-84.5333,53.01,76,90,14.97
187,Codrington,AU,2021-04-11 15:59:51,-38.2667,141.9667,54.93,74,100,10.85
188,Strezhevoy,RU,2021-04-11 15:59:52,60.7333,77.5889,39.2,81,100,4.47
189,Katsuura,JP,2021-04-11 15:59:52,35.1333,140.3,55.4,76,20,6.91
190,Mount Gambier,AU,2021-04-11 15:59:52,-37.8333,140.7667,50.0,81,90,4.61
191,Lastoursville,GA,2021-04-11 15:59:52,-0.8143,12.7287,81.61,73,100,2.26
192,Kotka,FI,2021-04-11 15:59:53,60.4664,26.9458,48.2,37,0,9.22
193,Vung Tau,VN,2021-04-11 15:59:53,10.346,107.0843,81.99,80,17,19.98
194,Itapecerica,BR,2021-04-11 15:57:16,-20.4725,-45.1256,77.95,45,0,2.48
195,Esperantinopolis,BR,2021-04-11 15:59:54,-4.8667,-44.7083,86.32,65,38,3.2
196,Shulan,CN,2021-04-11 15:59:54,44.4167,126.95,56.37,41,100,16.6
197,Grand Baie,MU,2021-04-11 15:59:54,-20.0182,57.5802,80.01,80,76,5.01
198,Westport,US,2021-04-11 15:59:54,41.1415,-73.3579,59.0,100,90,13.8
199,Dorokhovo,RU,2021-04-11 15:59:55,55.5506,36.3744,59.0,31,0,4.47
200,Wasilla,US,2021-04-11 15:59:55,61.5814,-149.4394,18.0,38,90,5.75
201,Bengkulu,ID,2021-04-11 15:59:55,-3.8004,102.2655,76.5,90,94,4.47
202,Road Town,VG,2021-04-11 15:59:56,18.4167,-64.6167,82.4,57,40,6.91
203,Lorengau,PG,2021-04-11 15:57:39,-2.0226,147.2712,80.85,83,95,13.29
204,Semnan,IR,2021-04-11 15:59:56,35.5729,53.3971,72.0,33,98,12.93
205,Mtambile,TZ,2021-04-11 15:59:56,-5.3833,39.7,80.49,76,48,8.95
206,Shakawe,BW,2021-04-11 15:59:57,-18.3667,21.85,77.77,31,5,6.64
207,Pakaur,IN,2021-04-11 15:58:05,24.6333,87.85,87.94,11,43,6.71
208,Quatre Cocos,MU,2021-04-11 15:59:57,-20.2078,57.7625,80.6,78,40,6.91
209,Tigao,PH,2021-04-11 15:59:57,9.2089,126.1761,78.64,83,51,7.65
210,Souillac,MU,2021-04-11 15:56:15,-20.5167,57.5167,80.6,78,40,6.91
211,Bambous Virieux,MU,2021-04-11 15:59:58,-20.3428,57.7575,80.6,78,40,6.91
212,Fairbanks,US,2021-04-11 15:59:58,64.8378,-147.7164,3.99,60,1,9.22
213,Belaya Gora,RU,2021-04-11 15:59:58,68.5333,146.4167,-25.8,100,41,3.67
214,Portage,US,2021-04-11 15:59:59,41.1667,-81.1998,64.99,48,75,4.61
215,Berzasca,RO,2021-04-11 15:59:59,44.6476,21.9526,59.0,21,30,11.61
216,Batagay,RU,2021-04-11 15:59:59,67.6333,134.6333,-18.72,100,66,1.9
217,Tasiilaq,GL,2021-04-11 16:00:00,65.6145,-37.6368,30.2,69,0,4.61
218,Necochea,AR,2021-04-11 15:58:09,-38.5473,-58.7368,66.99,69,94,11.01
219,Saint-Georges,GD,2021-04-11 16:00:00,12.0564,-61.7485,84.2,70,75,20.71
220,Angoche,MZ,2021-04-11 16:00:00,-16.2325,39.9086,79.14,75,100,8.63
221,Peleduy,RU,2021-04-11 16:00:01,59.6289,112.7406,-5.22,99,19,1.92
222,Buala,SB,2021-04-11 16:00:01,-8.145,159.5921,78.64,81,100,3.38
223,Alberton,CA,2021-04-11 16:00:02,46.8168,-64.0654,41.0,65,43,14.97
224,Salinas,US,2021-04-11 16:00:02,36.6777,-121.6555,51.8,81,90,5.75
225,Hohhot,CN,2021-04-11 16:00:02,40.8106,111.6522,46.4,87,20,4.47
226,Lensk,RU,2021-04-11 16:00:03,60.7253,114.9278,4.33,97,97,4.59
227,Along,IN,2021-04-11 16:00:03,28.1667,94.7667,63.93,87,93,4.05
228,Yeniseysk,RU,2021-04-11 15:56:24,58.4497,92.1703,34.61,98,100,6.71
229,Komsomolskiy,UZ,2021-04-11 16:00:04,40.4272,71.7189,62.6,36,37,11.5
230,Arman,RU,2021-04-11 16:00:04,59.7,150.1667,9.5,75,100,12.41
231,Bowen,AU,2021-04-11 16:00:06,-20.0167,148.2333,75.2,94,0,5.75
232,Rocha,UY,2021-04-11 16:00:07,-34.4833,-54.3333,66.65,84,91,29.39
233,Tilichiki,RU,2021-04-11 16:00:09,60.4667,166.1,-2.52,88,15,8.63
234,Limoux,FR,2021-04-11 16:00:10,42.9167,2.1667,51.8,93,75,12.66
235,Sulangan,PH,2021-04-11 16:00:12,11.1373,123.7228,81.99,76,89,18.84
236,Boyuibe,BO,2021-04-11 16:00:12,-20.4167,-63.2833,73.4,78,90,5.75
237,Goure,NE,2021-04-11 16:00:13,13.9835,10.2704,102.0,4,78,8.01
238,Panguna,PG,2021-04-11 16:00:13,-6.3164,155.4848,66.78,92,95,1.48
239,Saint-Augustin,CA,2021-04-11 16:00:13,51.226,-58.6502,43.66,92,100,24.7
240,Kinshasa,CD,2021-04-11 15:56:18,-4.3246,15.3215,89.6,48,20,3.44
